location,attention_score
"-101.843750  34.406250
",7.251008033752441
"-101.781250  33.781250
",6.61094331741333
"-102.156250  33.843750
",6.3716936111450195
"-100.968750  33.531250
",6.032828330993652
"-96.531250  30.031250
",6.230554103851318
"-99.468750  33.218750
",4.894099235534668
"-103.031250  34.281250
",5.396032810211182
"-98.718750  33.031250
",4.782872200012207
"-103.156250  34.156250
",3.5746724605560303
"-98.531250  32.406250
",3.386035919189453
"-98.968750  32.906250
",3.5813283920288086
"-96.531250  30.406250
",2.8783788681030273
"-102.531250  34.406250
",2.792637348175049
"-101.093750  33.468750
",2.7465152740478516
"-101.656250  33.031250
",2.8353703022003174
"-97.218750  31.906250
",2.732663631439209
"-98.781250  33.156250
",2.451262950897217
"-99.031250  32.906250
",2.787856101989746
"-98.968750  32.156250
",2.670363426208496
"-98.906250  32.593750
",2.7080976963043213
"-101.156250  33.093750
",2.5462849140167236
"-102.406250  33.468750
",2.2456109523773193
"-102.093750  33.531250
",2.1470108032226562
"-101.781250  33.656250
",2.5126266479492188
"-97.031250  32.093750
",2.3672642707824707
"-102.031250  33.843750
",2.1030845642089844
"-96.656250  31.406250
",2.1225905418395996
"-101.218750  33.593750
",1.9552048444747925
"-97.843750  31.156250
",2.019573450088501
"-102.718750  34.343750
",1.8994957208633423
"-101.906250  33.968750
",2.0994744300842285
"-99.281250  33.093750
",2.249727964401245
"-100.031250  32.656250
",1.9493367671966553
"-102.093750  33.406250
",1.9704208374023438
"-100.218750  32.343750
",1.9119716882705688
"-98.656250  33.218750
",1.766122817993164
"-102.406250  33.593750
",1.8610492944717407
"-98.593750  31.593750
",2.0860116481781006
"-102.281250  34.031250
",1.796596884727478
"-101.843750  34.281250
",2.00732684135437
"-102.718750  33.781250
",1.7549877166748047
"-99.781250  32.843750
",1.9182519912719727
"-98.718750  32.156250
",2.1345841884613037
"-96.343750  30.343750
",1.739706039428711
"-99.531250  33.031250
",1.6308162212371826
"-102.031250  33.781250
",1.7055227756500244
"-97.906250  32.156250
",1.9909511804580688
